source,feed_topic,published,title,description,link,full_text,translated_text,analysis_text,category
Ukr.net,politics,2026-05-10 22:50,У Берліні обговорюють пропозицію Путіна: кого можуть відправити на переговори,,https://tsn.ua/svit/u-berlini-obhovoriuiut-propozytsiiu-putina-koho-mozut-vidpravyty-na-perehovory-3080345.html,У Берліні обговорюють пропозицію Путіна: кого можуть відправити на переговори ,Putin's proposal is being discussed in Berlin: who can be sent to the negotiations,putin proposal discuss berlin send negotiation,politics
Ukr.net,politics,2026-05-10 22:37,Україна подала документи на обмін тисячі полонених,,https://www.ukr.net/cluster/politics/Ukrajina_podala_dokumenti_na_obmin_tisjachi_polonenih-69096804.html,Україна подала документи на обмін тисячі полонених ,Ukraine submitted documents for the exchange of thousands of prisoners,ukraine submit document exchange thousand prisoner,politics
Ukr.net,politics,2026-05-10 22:37,Німеччина має ще одну кандидатуру на роль перемовника з Росією від ЄС — ЗМІ,,https://apostrophe.ua/politics/foreign-policy/nimechchina-maje-shche-odnu-kandidaturu-na-rol-peremovnika-z-rosijeju-vid-jes-zmi.html,Німеччина має ще одну кандидатуру на роль перемовника з Росією від ЄС — ЗМІ ,Germany has another candidate for the role of negotiator with Russia from the EU — the media,germany candidate role negotiator russia medium,politics
Ukr.net,politics,2026-05-10 22:25,"Без втручання Росії не обійшлося: Сибіга пояснив, як українські дрони залетіли до Латвії",,https://24tv.ua/ukrayinski-droni-latviyi-yak-ukrayinski-bpla-zaletili-do-latviyi_n3065325,"Без втручання Росії не обійшлося: Сибіга пояснив, як українські дрони залетіли до Латвії ",It was not without Russia's intervention: Sybiga explained how Ukrainian drones flew to Latvia,russia intervention sybiga explain ukrainian drone fly latvia,politics
Ukr.net,politics,2026-05-10 22:07,"""Дружать з 1998 року"": в DW розповіли про Шредера, якого Путін висуває посередником від ЄС",,https://www.unian.ua/world/viyna-v-ukrajini-shcho-vidomo-pro-shredera-yakogo-putin-visuvaye-peregovirnikom-vid-yes-13377807.html?utm_source=ukrnet_news,"""Дружать з 1998 року"": в DW розповіли про Шредера, якого Путін висуває посередником від ЄС ","""Friends since 1998"": DW talked about Schroeder, whom Putin nominates as mediator from the EU",friend talk schroeder putin nominate mediator,politics
Ukr.net,politics,2026-05-10 22:05,"Зеленський заявив, що Путіна «підштовхнули», і тепер він нібито готовий до реальних зустрічей",,https://www.ukr.net/cluster/politics/Zelenskij_zajaviv_wo_Putina_pidshtovhnuli_i_teper_vin_nibito_gotovij_do_realnih_zustrichej-69097212.html,"Зеленський заявив, що Путіна «підштовхнули», і тепер він нібито готовий до реальних зустрічей ","Zelensky said that Putin was ""pushed"" and now he is allegedly ready for real meetings",zelensky say putin push allegedly ready real meeting,politics
Ukr.net,politics,2026-05-10 21:51,"Путін ""годує"" Трампа казками про перемогу, поки окупанти гинуть в Україні, – NYT",,https://24tv.ua/geopolitics/situatsiya-fronti-yak-putin-namagayetsya-perekonati-trampa-vigadanih_n3065241,"Путін ""годує"" Трампа казками про перемогу, поки окупанти гинуть в Україні, – NYT ","Putin ""feeds"" Trump tales of victory while the occupiers die in Ukraine, NYT",putin feed trump tale victory occupier die ukraine nyt,politics
Ukr.net,politics,2026-05-10 21:44,Україна долучилася до масштабних навчань НАТО у Балтійському морі: які сценарії відпрацьовуватимуть,,https://www.obozrevatel.com/ukr/politics-news/ukraina-doluchilasya-do-masshtabnih-navchan-nato-u-baltijskomu-mori-yaki-stsenarii-vidpratsovuvatimut.htm,Україна долучилася до масштабних навчань НАТО у Балтійському морі: які сценарії відпрацьовуватимуть ,Ukraine joined large-scale NATO exercises in the Baltic Sea: what scenarios will work out,ukraine join large scale nato exercise baltic sea scenario work,economy
Ukr.net,politics,2026-05-10 21:30,"""Артилерія потрібна"": Зеленський анонсував спільне з Норвегією виробництво далекобійних снарядів 155-го калібру",,https://www.obozrevatel.com/ukr/politics-news/artileriya-potribna-zelenskij-anonsuvav-spilne-z-norvegieyu-virobnitstvo-dalekobijnih-snaryadiv-155-go-kalibru.htm,"""Артилерія потрібна"": Зеленський анонсував спільне з Норвегією виробництво далекобійних снарядів 155-го калібру ","""Artillery is needed"": Zelensky announced the joint production of 155-caliber long-range projectiles with Norway",artillery need zelensky announce joint production caliber long range projectile norway,economy
Ukr.net,politics,2026-05-10 21:24,Україна та Норвегія спільно вироблятимуть найбільш дефіцитні снаряди,,https://ua.news/ua/ukraine/ukrayina-ta-norvegiia-spilno-virobliatimut-naibilsh-defitsitni-snariadi,Україна та Норвегія спільно вироблятимуть найбільш дефіцитні снаряди ,Ukraine and Norway will jointly produce the most scarce shells,ukraine norway jointly produce scarce shell,economy
Ukr.net,politics,2026-05-10 21:13,Україна та Норвегія спільно вироблятимуть боєприпаси для фронту — Зеленський,,https://zn.ua/ukr/war/ukrajina-ta-norvehija-spilno-virobljatimut-bojepripasi-dlja-frontu-zelenskij.html,Україна та Норвегія спільно вироблятимуть боєприпаси для фронту — Зеленський ,Ukraine and Norway will jointly produce ammunition for the front - Zelenskyi,ukraine norway jointly produce ammunition zelenskyi,politics
Ukr.net,politics,2026-05-10 20:58,Україна відповість дзеркально на масовані атаки рф у разі їх відновлення – Зеленський,,https://ua.news/ua/war-vs-rf/ukrayina-vidpovist-dzerkalno-na-masovani-ataki-rf-u-razi-yikh-vidnovlennia-zelenskii,Україна відповість дзеркально на масовані атаки рф у разі їх відновлення – Зеленський ,Ukraine will respond in a mirror image to the mass attacks of the Russian Federation in the event of their resumption - Zelenskyi,ukraine respond mirror image mass attack russian federation event resumption zelenskyi,politics
Ukr.net,politics,2026-05-10 20:57,"Від ""зграї наркоманів"" до ""пана Зеленського"": Путін різко змінив риторику",,https://www.unian.ua/world/volodimir-putin-rizko-zminiv-ton-zgaduyuchi-zelenskogo-13377762.html?utm_source=ukrnet_news,"Від ""зграї наркоманів"" до ""пана Зеленського"": Путін різко змінив риторику ","From ""a bunch of drug addicts"" to ""Mr. Zelensky"": Putin has dramatically changed his rhetoric",bunch drug addict zelensky putin dramatically change rhetoric,politics
Ukr.net,politics,2026-05-10 20:49,Україна готова співпрацювати з країнами Балтії щоб запобігти інцидентам з дронами - Сибіга,,https://unn.ua/news/ukraina-hotova-spivpratsiuvaty-z-krainamy-baltii-shchob-zapobihty-intsydentam-z-dronamy-sybiha,Україна готова співпрацювати з країнами Балтії щоб запобігти інцидентам з дронами - Сибіга ,Ukraine is ready to cooperate with the Baltic countries to prevent drone incidents - Sybig,ukraine ready cooperate baltic country prevent drone incident sybig,politics
Ukr.net,politics,2026-05-10 20:34,"Російська армія порушує режим тиші на фронті, ЗСУ відповідають дзеркально",,https://kurazh.org/rosijska-armiya-porushuye-rezhym-tyshi/,"Російська армія порушує режим тиші на фронті, ЗСУ відповідають дзеркально ","The Russian army violates the regime of silence at the front, the Armed Forces respond in kind",russian army violate regime silence armed force respond kind,politics
Ukr.net,politics,2026-05-10 20:30,Україна і Норвегія домовились про спільне виробництво 155-мм снарядів - Президент,,https://www.ukrinform.ua/rubric-ato/4121761-ukraina-i-norvegia-domovilis-pro-spilne-virobnictvo-155mm-snaradiv-prezident.html,Україна і Норвегія домовились про спільне виробництво 155-мм снарядів - Президент ,Ukraine and Norway agreed on the joint production of 155-mm projectiles - the President,ukraine norway agree joint production projectile president,politics
Ukr.net,politics,2026-05-10 20:29,"""Відстань має все менше значення"": Зеленський пригрозив Росії наслідками у разі повернення до повноформатної війни. Відео",,https://www.obozrevatel.com/ukr/politics-news/vidstan-mae-vse-menshe-znachennya-zelenskij-prigroziv-rosii-naslidkami-u-razi-povernennya-do-povnoformatnoi-vijni-video.htm,"""Відстань має все менше значення"": Зеленський пригрозив Росії наслідками у разі повернення до повноформатної війни. Відео ","""Distance matters less and less"": Zelensky threatened Russia with consequences in the event of a return to full-scale war. Video",distance matter zelensky threaten russia consequence event return scale war video,politics
Ukr.net,politics,2026-05-10 20:26,Інциденти з дронами у Латвії сталися через російські засоби РЕБ - Сибіга,,https://www.ukrinform.ua/rubric-polytics/4121758-incidenti-z-dronami-u-latvii-stalisa-cerez-rosijski-zasobi-reb-sibiga.html,Інциденти з дронами у Латвії сталися через російські засоби РЕБ - Сибіга ,Incidents with drones in Latvia occurred due to the Russian means of electronic warfare - Sibiga,incident drone latvia occur russian mean electronic warfare sibiga,politics
Ukr.net,politics,2026-05-10 20:26,"РФ свідомо спровокувала інциденти з українськими дронами в країнах Балтії, — Сибіга",,https://uatv.ua/uk/rf-svidomo-sprovokuvala-intsydenty-z-ukrayinskymy-dronamy-v-krayinah-baltiyi-sybiga/,"РФ свідомо спровокувала інциденти з українськими дронами в країнах Балтії, — Сибіга ","The Russian Federation deliberately provoked incidents involving Ukrainian drones in the Baltic states, — Sibiga",russian federation deliberately provoke incident involve ukrainian drone baltic state sibiga,security
Ukr.net,politics,2026-05-10 20:25,"""Путін готовий до зустрічей"": Зеленський - про мирні переговори",,https://glavred.net/politics/putin-gotov-k-vstrecham-zelenskiy-o-mirnyh-peregovorah-10763600.html?utm_source=ukrnet_news,"""Путін готовий до зустрічей"": Зеленський - про мирні переговори ","""Putin is ready for meetings"": Zelenskyi - on peace negotiations",putin ready meeting zelenskyi peace negotiation,politics
Ukr.net,politics,2026-05-10 20:24,"Путін каже, що готовий до зустрічі - Зеленський",,https://www.ukrinform.ua/rubric-polytics/4121759-putin-kaze-so-gotovij-do-zustrici-zelenskij.html,"Путін каже, що готовий до зустрічі - Зеленський ",Putin says he is ready for a meeting - Zelensky,putin say ready meeting zelensky,politics
Ukr.net,politics,2026-05-10 20:18,Зеленський заявив про готовність до зустрічі з Путіним задля завершення війни,,https://ua.news/ua/ukraine/zelenskii-zaiaviv-pro-gotovnist-do-zustrichi-z-putinim-zadlia-zavershennia-viini,Зеленський заявив про готовність до зустрічі з Путіним задля завершення війни ,Zelensky announced his readiness to meet with Putin to end the war,zelensky announce readiness meet putin end war,politics
Ukr.net,politics,2026-05-10 20:16,Сибіга розкрив причину інциденту з українськими дронами в Латвії,,https://www.unian.ua/world/ukrajinski-droni-u-latviji-sibiga-poyasniv-prichinu-incidentu-13377726.html?utm_source=ukrnet_news,Сибіга розкрив причину інциденту з українськими дронами в Латвії ,Sybiga revealed the reason for the incident with Ukrainian drones in Latvia,sybiga reveal reason incident ukrainian drone latvia,economy
Ukr.net,politics,2026-05-10 20:11,"Обмін полоненими між Україною та РФ готується, – Зеленський",,https://vgoru.org/novini/obmin-polonenimi-miz-ukrayinoiu-ta-rf-gotujetsia-zelenskii,"Обмін полоненими між Україною та РФ готується, – Зеленський ","The exchange of prisoners between Ukraine and the Russian Federation is being prepared, - Zelenskyi",exchange prisoner ukraine russian federation prepare zelenskyi,politics
Ukr.net,politics,2026-05-10 20:09,"Путін натякає, що війна в Україні добігає кінця, але оточення не погоджується",,https://inshe.tv/politics/2026-05-10/994178/,"Путін натякає, що війна в Україні добігає кінця, але оточення не погоджується ","Putin hints that the war in Ukraine is coming to an end, but those around him disagree",putin hint war ukraine come end disagree,politics
Ukr.net,politics,2026-05-10 20:07,Німеччина відкинула пропозицію Путіна призначити Шредера переговірником між ЄС і РФ,,https://komersant.ua/nimechchyna-vidkynula-propozytsiiu-putina-pryznachyty-shredera-perehovirnykom-mizh-yes-i-rf/,Німеччина відкинула пропозицію Путіна призначити Шредера переговірником між ЄС і РФ ,Germany rejected Putin's proposal to appoint Schröder as a negotiator between the EU and the Russian Federation,germany reject putin proposal appoint schr der negotiator russian federation,politics
Ukr.net,politics,2026-05-10 20:04,Звільнення «1000 на 1000» наближається: Зеленський розкрив деталі домовленостей,,https://www.ukr.net/cluster/politics/Zvilnennja_1000_na_1000_nablizhaetsja_Zelenskij_rozkriv_detali_domovlenostej-69096676.html,Звільнення «1000 на 1000» наближається: Зеленський розкрив деталі домовленостей ,"The release of ""1000 by 1000"" is approaching: Zelensky revealed the details of the arrangements",release approach zelensky reveal detail arrangement,economy
Ukr.net,politics,2026-05-10 19:41,Німеччина відкинула пропозицію Путіна щодо переговірника-Шредера,,https://www.ukr.net/cluster/politics/Nimechchina_vidkinula_propoziciju_Putina_wodo_peregovirnika_Shredera-69096537.html,Німеччина відкинула пропозицію Путіна щодо переговірника-Шредера ,Germany rejected Putin's proposal for negotiator Schroeder,germany reject putin proposal negotiator schroeder,politics
Ukr.net,politics,2026-05-10 19:15,Україна може отримати від Бельгії понад 50 винищувачів F-16: звідки взялася така цифра,,https://www.unian.ua/weapons/vinishchuvachi-f-16-eksperti-poyasnili-chomu-belgiya-mozhe-peredati-ukrajini-53-takih-litakiv-13377699.html?utm_source=ukrnet_news,Україна може отримати від Бельгії понад 50 винищувачів F-16: звідки взялася така цифра ,Ukraine can receive more than 50 F-16 fighters from Belgium: where did such a figure come from,ukraine receive fighter belgium figure come,politics
Ukr.net,politics,2026-05-10 19:00,У Москві анонсували нові контакти зі США,,https://thepublic.info/news/u-moskvi-anonsuvali-novi-kontakti-zi-ssa,У Москві анонсували нові контакти зі США ,New contacts with the USA were announced in Moscow,new contact usa announce moscow,economy
Ukr.net,politics,2026-05-10 19:00,Естонія закликала Україну краще слідкувати за дронами під час атак на Росію,,https://www.dsnews.ua/ukr/world/estoniya-prizvala-ukrainu-luchshe-sledit-za-dronami-vo-vremya-atak-na-rossiyu-10052026-459013,Естонія закликала Україну краще слідкувати за дронами під час атак на Росію ,Estonia urged Ukraine to better monitor drones during attacks on Russia,estonia urge ukraine well monitor drone attack russia,security
Ukr.net,politics,2026-05-10 19:00,"Естонія підтримує право України бити по території РФ, але має одне прохання: про що йдеться",,https://www.obozrevatel.com/ukr/novosti-mir/estoniya-pidtrimue-pravo-ukraini-biti-po-teritorii-rf-ale-mae-odne-prohannya-pro-scho-jdetsya.htm,"Естонія підтримує право України бити по території РФ, але має одне прохання: про що йдеться ","Estonia supports Ukraine's right to strike on the territory of the Russian Federation, but has one request: what is it about",estonia support ukraine right strike territory russian federation request,politics
Ukr.net,politics,2026-05-10 19:00,Українські дрони залетіли до Латвії через роботу російських засобів РЕБ — Сибіга,,https://nv.ua/ukr/world/geopolitics/droni-v-latviji-sibiga-poyasniv-shcho-rosiyski-zasobi-reb-vidvodili-ukrajinski-bpla-do-krajin-baltiji-50606719.html,Українські дрони залетіли до Латвії через роботу російських засобів РЕБ — Сибіга ,Ukrainian drones flew to Latvia due to the operation of the Russian EW — Sybig,ukrainian drone fly latvia operation russian sybig,security
Ukr.net,politics,2026-05-10 18:59,Сибіга: Інциденти з українськими дронами в Латвії спричинені дією російських РЕБ,,https://apostrophe.ua/world/sibiha-intsidenti-z-ukrajinskimi-dronami-v-latviji-sprichineni-dijeju-rosijskikh-reb.html,Сибіга: Інциденти з українськими дронами в Латвії спричинені дією російських РЕБ ,Sibiga: Incidents with Ukrainian drones in Latvia were caused by the action of Russian electronic warfare systems,sibiga incident ukrainian drone latvia cause action russian electronic warfare system,security
Ukr.net,politics,2026-05-10 18:39,Москва готується до переговорів із командою Трампа щодо України,,https://www.ukr.net/cluster/politics/Moskva_gotuetsja_do_peregovoriv_iz_komandoju_Trampa_wodo_Ukrajini-69096182.html,Москва готується до переговорів із командою Трампа щодо України ,Moscow is preparing for negotiations with Trump's team regarding Ukraine,moscow prepare negotiation trump team ukraine,politics
Ukr.net,politics,2026-05-10 18:32,У Кремлі хочуть закінчити війну: про що свідчать заяви Путіна та його оточення - The Guardian,,https://tsn.ua/politika/u-kremli-khochut-zakinchyty-viynu-pro-shcho-svidchat-zaiavy-putina-ta-yoho-otochennia-the-guardian-3080270.html,У Кремлі хочуть закінчити війну: про що свідчать заяви Путіна та його оточення - The Guardian ,The Kremlin wants to end the war: the statements of Putin and his entourage testify to this - The Guardian,kremlin want end war statement putin entourage testify guardian,politics
Ukr.net,politics,2026-05-10 18:21,Сибіга завтра візьме участь у заходах ЄС і НАТО в Брюсселі,,https://unn.ua/news/sybiha-zavtra-vizme-uchast-u-zakhodakh-yes-i-nato-v-briusseli,Сибіга завтра візьме участь у заходах ЄС і НАТО в Брюсселі ,Sybiga will take part in EU and NATO events in Brussels tomorrow,sybiga nato event brussels tomorrow,politics
Ukr.net,politics,2026-05-10 18:10,У Кремлі «досить скоро» очікують на американських переговірників — Ушаков,,https://www.ostro.org/news/u-kremli-dosyt-skoro-ochikuyut-na-amerykanskyh-peregovirnykiv-ushakov-i556061,У Кремлі «досить скоро» очікують на американських переговірників — Ушаков ,"Ushakov is expecting American negotiators ""quite soon"" in the Kremlin",ushakov expect american negotiator soon kremlin,politics
Ukr.net,politics,2026-05-10 18:07,"У Москві вкотре заявили, що для завершення війни Київ має вивести війська з Донбасу",,https://www.ukr.net/cluster/politics/V_Moskve_v_ocherednoj_raz_zajavili_chto_dlja_zavershenija_vojny_Kiev_dolzhen_vyvesti_vojska_s_Donbassa-69096019.html,"У Москві вкотре заявили, що для завершення війни Київ має вивести війська з Донбасу ","Moscow once again declared that in order to end the war, Kyiv must withdraw its troops from Donbas",moscow declare order end war kyiv withdraw troop donbas,politics
Ukr.net,politics,2026-05-10 18:04,Сибіга у понеділок вирушить до Брюсселя на серію подій,,https://www.eurointegration.com.ua/news/2026/05/10/7237274/,Сибіга у понеділок вирушить до Брюсселя на серію подій ,Sibiga will go to Brussels on Monday for a series of events,sibiga brussels monday series event,politics
Ukr.net,politics,2026-05-10 18:03,Парад як частина стратегії. Путін веде проти України паралельну війну — The Sunday Times,,https://nv.ua/ukr/world/geopolitics/parad-yak-chastina-strategiji-kreml-vede-proti-ukrajini-politichnu-ta-psihologichnu-viynu-50606710.html,Парад як частина стратегії. Путін веде проти України паралельну війну — The Sunday Times ,Parade as part of strategy. Putin is waging a parallel war against Ukraine - The Sunday Times,parade strategy putin wag parallel war ukraine sunday time,politics
Ukr.net,politics,2026-05-10 18:00,ЗМІ: У керівній коаліції Німеччини мають ще одну кандидатуру на роль перемовника з Росією від ЄС,,https://www.pravda.com.ua/news/2026/05/10/8034078/,ЗМІ: У керівній коаліції Німеччини мають ще одну кандидатуру на роль перемовника з Росією від ЄС ,Media: Germany's governing coalition has another candidate for the role of EU negotiator with Russia,media germany govern coalition candidate role negotiator russia,politics
Ukr.net,politics,2026-05-10 17:58,Армения ответила Путину на угрозы «повторить судьбу Украины»,,https://charter97.org/ru/news/2026/5/10/683573/,Армения ответила Путину на угрозы «повторить судьбу Украины» ,Armenia responded to Putin’s threats to “repeat the fate of Ukraine”,armenia respond putin threat repeat fate ukraine,security
Ukr.net,politics,2026-05-10 17:25,У Кремлі зробили заяву про переговори: коли посланці США можуть приїхати до РФ,,https://glavred.net/world/v-kremle-sdelali-zayavlenie-o-peregovorah-kogda-poslanniki-ssha-mogut-priehat-v-rf-10763561.html?utm_source=ukrnet_news,У Кремлі зробили заяву про переговори: коли посланці США можуть приїхати до РФ ,The Kremlin made a statement about the negotiations: when the US envoys can come to the Russian Federation,kremlin statement negotiation envoy come russian federation,politics
Ukr.net,politics,2026-05-10 17:17,"Поки Україна не відмовиться від Донбасу, переговори не матимуть ані сенсу, ані результату, — Ушаков",,https://today.ua/489666-poki-ukrayina-ne-vidmovitsya-vid-donbasu-peregovori-ne-matimut-ani-sensu-ani-rezultatu-ushakov/,"Поки Україна не відмовиться від Донбасу, переговори не матимуть ані сенсу, ані результату, — Ушаков ","As long as Ukraine does not give up Donbas, the negotiations will have neither meaning nor result, — Ushakov",long ukraine donbas negotiation meaning result ushakov,politics
Ukr.net,politics,2026-05-10 16:55,"""Не заслуговує на довіру"": у Німеччині відреагували на заяву Путіна про перемовника від ЄС",,https://www.obozrevatel.com/ukr/politics-news/ne-zaslugovue-na-doviru-u-nimechchini-vidreaguvali-na-zayavu-putina-pro-peremovnika-vid-es.htm,"""Не заслуговує на довіру"": у Німеччині відреагували на заяву Путіна про перемовника від ЄС ","""Not trustworthy"": Germany reacted to Putin's statement about the EU negotiator",trustworthy germany react putin statement negotiator,economy
Ukr.net,politics,2026-05-10 16:54,"Україна відправить своїх експертів з дронів до країн Балтії, - ЗМІ",,https://www.unian.ua/world/ukrajina-vidpravit-svojih-ekspertiv-z-droniv-do-krajin-baltiji-zmi-13377594.html?utm_source=ukrnet_news,"Україна відправить своїх експертів з дронів до країн Балтії, - ЗМІ ","Ukraine will send its experts on drones to the Baltic countries, - mass media",ukraine send expert drone baltic country mass medium,security
Ukr.net,politics,2026-05-10 16:54,Україна може направити експертів до Балтії після інцидентів із дронами біля кордонів НАТО — ERR,,https://elitexpert.ua/news/ukraina-mozhe-napraviti-ekspertiv-do-baltii-pislya-incidentiv-iz-dronami-bilya-kordoniv-nato-err/,Україна може направити експертів до Балтії після інцидентів із дронами біля кордонів НАТО — ERR ,Ukraine may send experts to the Baltic after drone incidents near NATO borders — ERR,ukraine send expert baltic drone incident near nato border err,security
Ukr.net,politics,2026-05-10 16:43,У кремлі пригрозили зривом переговорів через Донбас,,https://www.slovoidilo.ua/2026/05/10/novyna/polityka/kremli-pryhrozyly-zryvom-perehovoriv-cherez-donbas,У кремлі пригрозили зривом переговорів через Донбас ,The Kremlin threatened to disrupt the negotiations over Donbas,kremlin threaten disrupt negotiation donbas,economy
Ukr.net,politics,2026-05-10 16:36,Україна запропонувала країнам Балтії допомогу у посиленні повітряної безпеки,,https://farvatermedia.com/news/ukraina-zaproponuvala-krainam-baltii-dopomohu-u-posylenni-povitrianoi-bezpeky/,Україна запропонувала країнам Балтії допомогу у посиленні повітряної безпеки ,Ukraine offered the Baltic countries assistance in strengthening air security,ukraine offer baltic country assistance strengthen air security,economy
Ukr.net,politics,2026-05-10 16:30,"Посол Чехії сказав, чи допомагає Україні пропутінський уряд",,https://www.dsnews.ua/ukr/politics/posol-chehii-skazal-pomogaet-li-ukraine-proputinskoe-pravitelstvo-10052026-459009,"Посол Чехії сказав, чи допомагає Україні пропутінський уряд ",The Czech ambassador said whether the pro-Putin government is helping Ukraine,czech ambassador say pro putin government help ukraine,politics
Ukr.net,politics,2026-05-10 16:18,Фейк: Росія «утримувалася» від ударів по центру Києва «з гуманітарних міркувань» — Міноборони РФ,,https://irtafax.com/fejk-rosiia-utrymuvalasia-vid-udariv-po-tsentru-kyieva-z-humanitarnykh-mirkuvan-minoborony-rf/,Фейк: Росія «утримувалася» від ударів по центру Києва «з гуманітарних міркувань» — Міноборони РФ ,"Fake: Russia ""refrained"" from strikes in the center of Kyiv ""for humanitarian reasons"" — Ministry of Defense of the Russian Federation",fake russia refrain strike center kyiv humanitarian reason ministry defense russian federation,politics
Ukr.net,politics,2026-05-10 16:16,"Прага продовжує підтримку Києва, хоч і не говорить про це багато — посол Чехії",,https://zn.ua/ukr/europe/praha-prodovzhuje-pidtrimku-kijeva-khoch-i-ne-hovorit-pro-tse-bahato-posol-chekhiji.html,"Прага продовжує підтримку Києва, хоч і не говорить про це багато — посол Чехії ","Prague continues to support Kyiv, although it does not say much about it - the ambassador of the Czech Republic",prague continue support kyiv ambassador czech republic,politics
Ukr.net,politics,2026-05-10 16:10,"Росія накопичує танки не тільки для війни проти України, — Юсов",,https://uatv.ua/uk/rosiya-nakopychuye-tanky-ne-tilky-dlya-vijny-proty-ukrayiny-yusov/,"Росія накопичує танки не тільки для війни проти України, — Юсов ","Russia is stockpiling tanks not only for the war against Ukraine, - Yusov",russia stockpile tank war ukraine yusov,politics
